Organization,Model Name,Model String for API,Context length
Qwen,Qwen 1.5 Chat (7B),Qwen/Qwen1.5-7B-Chat,32768
Qwen,Qwen 1.5 Chat (14B),Qwen/Qwen1.5-14B-Chat,32768
Qwen,Qwen 1.5 Chat (32B),Qwen/Qwen1.5-32B-Chat,32768
Qwen,Qwen 1.5 Chat (72B),Qwen/Qwen1.5-72B-Chat,32768
Qwen,Qwen 1.5 Chat (110B),Qwen/Qwen1.5-110B-Chat,32768
Snorkel AI,Snorkel Mistral PairRM DPO (7B),snorkelai/Snorkel-Mistral-PairRM-DPO,32768
Snowflake,Snowflake Arctic Instruct,Snowflake/snowflake-arctic-instruct,4096
Stanford,Alpaca (7B),togethercomputer/alpaca-7b,2048
Teknium,OpenHermes-2-Mistral (7B),teknium/OpenHermes-2-Mistral-7B,8192
Teknium,OpenHermes-2.5-Mistral (7B),teknium/OpenHermes-2p5-Mistral-7B,8192
Together,LLaMA-2-7B-32K-Instruct (7B),togethercomputer/Llama-2-7B-32K-Instruct,32768
Together,RedPajama-INCITE Chat (3B),togethercomputer/RedPajama-INCITE-Chat-3B-v1,2048
Together,RedPajama-INCITE Chat (7B),togethercomputer/RedPajama-INCITE-7B-Chat,2048
Together,StripedHyena Nous (7B),togethercomputer/StripedHyena-Nous-7B,32768
Undi95,ReMM SLERP L2 (13B),Undi95/ReMM-SLERP-L2-13B,4096
Undi95,Toppy M (7B),Undi95/Toppy-M-7B,4096
WizardLM,WizardLM v1.2 (13B),WizardLM/WizardLM-13B-V1.2,4096
upstage,Upstage SOLAR Instruct v1 (11B),upstage/SOLAR-10.7B-Instruct-v1.0,
01.AI,01-ai Yi Base (6B),zero-one-ai/Yi-6B,4096
Mistral AI,Mixtral 8X22B,mistralai/Mixtral-8x22B,65536
Google,Gemma (2B),google/gemma-2b,8192
Google,Gemma (7B),google/gemma-7b,8192
Meta,LLaMA-2 (70B),meta-llama/Llama-2-70b-hf,4096
Meta,LLaMA-2 (13B),meta-llama/Llama-2-13b-hf,4096
Meta,LLaMA-2 (7B),meta-llama/Llama-2-7b-hf,4096
Microsoft,Microsoft Phi-2,microsoft/phi-2,2048
Nexusflow,NexusRaven (13B),Nexusflow/NexusRaven-V2-13B,16384
Qwen,Qwen 1.5 (0.5B),Qwen/Qwen1.5-0.5B,32768
Qwen,Qwen 1.5 (1.8B),Qwen/Qwen1.5-1.8B,32768
Qwen,Qwen 1.5 (4B),Qwen/Qwen1.5-4B,32768
Qwen,Qwen 1.5 (7B),Qwen/Qwen1.5-7B,32768
Qwen,Qwen 1.5 (14B),Qwen/Qwen1.5-14B,32768
Qwen,Qwen 1.5 (32B),Qwen/Qwen1.5-32B,32768
Qwen,Qwen 1.5 (72B),Qwen/Qwen1.5-72B,4096
Together,GPT-JT-Moderation (6B),togethercomputer/GPT-JT-Moderation-6B,2048
Together,LLaMA-2-32K (7B),togethercomputer/LLaMA-2-7B-32K,32768
Together,RedPajama-INCITE (3B),togethercomputer/RedPajama-INCITE-Base-3B-v1,2048
Together,RedPajama-INCITE (7B),togethercomputer/RedPajama-INCITE-7B-Base,2048
Together,RedPajama-INCITE Instruct (3B),togethercomputer/RedPajama-INCITE-Instruct-3B-v1,2048
Together,RedPajama-INCITE Instruct (7B),togethercomputer/RedPajama-INCITE-7B-Instruct,2048
Together,StripedHyena Hessian (7B),togethercomputer/StripedHyena-Hessian-7B,32768
mistralai,Mistral (7B),mistralai/Mistral-7B-v0.1,8192
mistralai,Mixtral-8x7B (46.7B),mistralai/Mixtral-8x7B-v0.1,32768
Meta,Code Llama Python (70B),codellama/CodeLlama-70b-Python-hf,4096
Meta,Code Llama Python (34B),codellama/CodeLlama-34b-Python-hf,16384
Meta,Code Llama Python (13B),codellama/CodeLlama-13b-Python-hf,16384
Meta,Code Llama Python (7B),codellama/CodeLlama-7b-Python-hf,16384
Phind,Phind Code LLaMA v2 (34B),Phind/Phind-CodeLlama-34B-v2,16384
WizardLM,WizardCoder Python v1.0 (34B),WizardLM/WizardCoder-Python-34B-V1.0,8192
Prompt Hero,Openjourney v4,prompthero/openjourney,
Runway ML,Stable Diffusion 1.5,runwayml/stable-diffusion-v1-5,
SG161222,Realistic Vision 3.0,SG161222/Realistic_Vision_V3.0_VAE,
Stability AI,Stable Diffusion 2.1,stabilityai/stable-diffusion-2-1,
Stability AI,Stable Diffusion XL 1.0,stabilityai/stable-diffusion-xl-base-1.0,
Wavymulder,Analog Diffusion,wavymulder/Analog-Diffusion,
Meta,Llama Guard (7B),Meta-Llama/Llama-Guard-7b,4096
Together,Evo-1 Base (8K),togethercomputer/evo-1-8k-base,8192*
Together,Evo-1 Base (131K),togethercomputer/evo-1-131k-base,131072*
